CVE;Detail
CVE-1999-0002;Buffer overflow in NFS mountd gives root access to remote attackers, mostly in Linux systems.
CVE-1999-0003;Execute commands as root via buffer overflow in Tooltalk database server (rpc.ttdbserverd).
CVE-1999-0004;MIME buffer overflow in email clients, e.g. Solaris mailtool and Outlook.
CVE-1999-0005;Arbitrary command execution via IMAP buffer overflow in authenticate command.
CVE-1999-0006;Buffer overflow in POP servers based on BSD/Qualcomm's qpopper allows remote attackers to gain root access using a long PASS command.
CVE-1999-0008;Buffer overflow in NIS+, in Sun's rpc.nisd program.
CVE-1999-0009;Inverse query buffer overflow in BIND 4.9 and BIND 8 Releases.
CVE-1999-0018;Buffer overflow in statd allows root privileges.
CVE-1999-0021;Arbitrary command execution via buffer overflow in Count.cgi (wwwcount) cgi-bin program.
CVE-1999-0022;Local user gains root privileges via buffer overflow in rdist, via expstr() function.
CVE-1999-0023;Local user gains root privileges via buffer overflow in rdist, via lookup() function.
CVE-1999-0025;root privileges via buffer overflow in df command on SGI IRIX systems.
CVE-1999-0026;root privileges via buffer overflow in pset command on SGI IRIX systems.
CVE-1999-0027;root privileges via buffer overflow in eject command on SGI IRIX systems.
CVE-1999-0028;root privileges via buffer overflow in login/scheme command on SGI IRIX systems.
CVE-1999-0029;root privileges via buffer overflow in ordist command on SGI IRIX systems.
CVE-1999-0030;root privileges via buffer overflow in xlock command on SGI IRIX systems.
CVE-1999-0032;Buffer overflow in lpr, as used in BSD-based systems including Linux, allows local users to execute arbitrary code as root via a long -C (classification) command line option.
CVE-1999-0033;Command execution in Sun systems via buffer overflow in the at program.
CVE-1999-0034;Buffer overflow in suidperl (sperl), Perl 4.x and 5.x.
CVE-1999-0038;Buffer overflow in xlock program allows local users to execute commands as root.
CVE-1999-0040;Buffer overflow in Xt library of X Windowing System allows local users to execute commands with root privileges.
CVE-1999-0041;Buffer overflow in NLS (Natural Language Service).
CVE-1999-0042;Buffer overflow in University of Washington's implementation of IMAP and POP servers.
CVE-1999-0046;Buffer overflow of rlogin program using TERM environmental variable.
CVE-1999-0047;MIME conversion buffer overflow in sendmail versions 8.8.3 and 8.8.4.
CVE-1999-0050;Buffer overflow in HP-UX newgrp program.
CVE-1999-0055;Buffer overflows in Sun libnsl allow root access.
CVE-1999-0056;Buffer overflow in Sun's ping program can give root access to local users.
CVE-1999-0058;Buffer overflow in PHP cgi program, php.cgi allows shell access.
CVE-1999-0064;Buffer overflow in AIX lquerylv program gives root access to local users.
CVE-1999-0065;Multiple buffer overflows in how dtmail handles attachments allows a remote attacker to execute commands.
CVE-1999-0069;Solaris ufsrestore buffer overflow.
CVE-1999-0071;Apache httpd cookie buffer overflow for versions 1.1.1 and earlier.
CVE-1999-0072;Buffer overflow in AIX xdat gives root access to local users.
CVE-1999-0076;Buffer overflow in wu-ftp from PASV command causes a core dump.
CVE-1999-0085;Buffer overflow in rwhod on AIX and other operating systems allows remote attackers to execute arbitrary code via a UDP packet with a long hostname.
CVE-1999-0089;Buffer overflow in AIX libDtSvc library can allow local users to gain root access.
CVE-1999-0090;Buffer overflow in AIX rcp command allows local users to obtain root access.
CVE-1999-0091;Buffer overflow in AIX writesrv command allows local users to obtain root access.
CVE-1999-0098;Buffer overflow in SMTP HELO command in Sendmail allows a remote attacker to hide activities.
CVE-1999-0099;Buffer overflow in syslog utility allows local or remote attackers to gain root privileges.
CVE-1999-0101;"Buffer overflow in AIX and Solaris ""gethostbyname"" library call allows root access through corrupt DNS host names."
CVE-1999-0102;Buffer overflow in SLmail 3.x allows attackers to execute commands using a large FROM line.
CVE-1999-0107;Buffer overflow in Apache 1.2.5 and earlier allows a remote attacker to cause a denial of service with a large number of GET requests containing a large number of / characters.
CVE-1999-0108;The printers program in IRIX has a buffer overflow that gives root access to local users.
CVE-1999-0109;Buffer overflow in ffbconfig in Solaris 2.5.1.
CVE-1999-0112;Buffer overflow in AIX dtterm program for the CDE.
CVE-1999-0121;Buffer overflow in dtaction command gives root access.
CVE-1999-0122;Buffer overflow in AIX lchangelv gives root access.
CVE-1999-0125;Buffer overflow in SGI IRIX mailx program.
CVE-1999-0126;SGI IRIX buffer overflow in xterm and Xaw allows root access.
CVE-1999-0131;Buffer overflow and denial of service in Sendmail 8.7.5 and earlier through GECOS field gives root access to local users.
CVE-1999-0137;The dip program on many Linux systems allows local users to gain root access via a buffer overflow.
CVE-1999-0139;Buffer overflow in Solaris x86 mkcookie allows local users to obtain root access.
CVE-1999-0178;Buffer overflow in the win-c-sample program (win-c-sample.exe) in the WebSite web server 1.1e allows remote attackers to execute arbitrary code via a long query string.
CVE-1999-0182;Samba has a buffer overflow which allows a remote attacker to obtain root access by specifying a long password.
CVE-1999-0192;Buffer overflow in telnet daemon tgetent routing allows remote attackers to gain root access via the TERMCAP environmental variable.
CVE-1999-0206;MIME buffer overflow in Sendmail 8.8.0 and 8.8.1 gives root access.
CVE-1999-0219;Buffer overflow in FTP Serv-U 2.5 allows remote authenticated users to cause a denial of service (crash) via a long (1) CWD or (2) LS (list) command.
CVE-1999-0230;Buffer overflow in Cisco 7xx routers through the telnet service.
CVE-1999-0231;Buffer overflow in IP-Switch IMail and Seattle Labs Slmail 2.6 packages using a long VRFY command, causing a denial of service and possibly remote access.
CVE-1999-0232;Buffer overflow in NCSA WebServer (version 1.5c) gives remote access.
CVE-1999-0235;Buffer overflow in NCSA WebServer (1.4.1 and below) gives remote access.
CVE-1999-0244;Livingston RADIUS code has a buffer overflow which can allow remote execution of commands as root.
CVE-1999-0247;Buffer overflow in nnrpd program in INN up to version 1.6 allows remote users to execute arbitrary commands.
CVE-1999-0252;Buffer overflow in listserv allows arbitrary command execution.
CVE-1999-0255;Buffer overflow in ircd allows arbitrary command execution.
CVE-1999-0256;Buffer overflow in War FTP allows remote execution of commands.
CVE-1999-0261;Netmanager Chameleon SMTPd has several buffer overflows that cause a crash.
CVE-1999-0267;Buffer overflow in NCSA HTTP daemon v1.3 allows remote command execution.
CVE-1999-0276;mSQL v2.0.1 and below allows remote execution through a buffer overflow.
CVE-1999-0284;Denial of service to NT mail servers including Ipswitch, Mdaemon, and Exchange through a buffer overflow in the SMTP HELO command.
CVE-1999-0297;Buffer overflow in Vixie Cron library up to version 3.0 allows local users to obtain root access via a long environmental variable.
CVE-1999-0299;Buffer overflow in FreeBSD lpd through long DNS hostnames.
CVE-1999-0301;Buffer overflow in SunOS/Solaris ps command.
CVE-1999-0303;Buffer overflow in BNU UUCP daemon (uucpd) through long hostnames.
CVE-1999-0306;buffer overflow in HP xlock program.
CVE-1999-0307;Buffer overflow in HP-UX cstm program allows local users to gain root privileges.
CVE-1999-0315;Buffer overflow in Solaris fdformat command gives root access to local users.
CVE-1999-0316;Buffer overflow in Linux splitvt command gives root access to local users.
CVE-1999-0317;Buffer overflow in Linux su command gives root access to local users.
CVE-1999-0318;Buffer overflow in xmcd 2.0p12 allows local users to gain access through an environmental variable.
CVE-1999-0319;Buffer overflow in xmcd 2.1 allows local users to gain access through a user resource setting.
CVE-1999-0321;Buffer overflow in Solaris kcms_configure command allows local users to gain root access.
CVE-1999-0330;Linux bdash game has a buffer overflow that allows local users to gain root access.
CVE-1999-0331;Buffer overflow in Internet Explorer 4.0(1).
CVE-1999-0332;Buffer overflow in NetMeeting allows denial of service and remote command execution.
CVE-1999-0336;Buffer overflow in mstm in HP-UX allows local users to gain root access.
CVE-1999-0339;Buffer overflow in the libauth library in Solaris allows local users to gain additional privileges, possibly root access.
CVE-1999-0340;Buffer overflow in Linux Slackware crond program allows local users to gain root access.
CVE-1999-0341;"Buffer overflow in the Linux mail program ""deliver"" allows local users to gain root access."
CVE-1999-0349;A buffer overflow in the FTP list (ls) command in IIS allows remote attackers to conduct a denial of service and, in some cases, execute arbitrary commands.
CVE-1999-0358;Digital Unix 4.0 has a buffer overflow in the inc program of the mh package.
CVE-1999-0363;SuSE 5.2 PLP lpc program has a buffer overflow that leads to root compromise.
CVE-1999-0368;Buffer overflows in wuarchive ftpd (wu-ftpd) and ProFTPD lead to remote root access, a.k.a. palmetto.
CVE-1999-0369;The Sun sdtcm_convert calendar utility for OpenWindows has a buffer overflow which can gain root access.
CVE-1999-0373;"Buffer overflow in the ""Super"" utility in Debian GNU/Linux, and other operating systems, allows local users to execute commands as root."
CVE-1999-0375;Buffer overflow in webd in Network Flight Recorder (NFR) 2.0.2-Research allows remote attackers to execute commands.
CVE-1999-0381;super 3.11.6 and other versions have a buffer overflow in the syslog utility which allows a local user to gain root access.
CVE-1999-0385;The LDAP bind function in Exchange 5.5 has a buffer overflow that allows a remote attacker to conduct a denial of service or execute commands.
CVE-1999-0389;Buffer overflow in the bootp server in the Debian Linux netstd package.
CVE-1999-0390;Buffer overflow in Dosemu Slang library in Linux.
CVE-1999-0392;Buffer overflow in Thomas Boutell's cgic library version up to 1.05.
CVE-1999-0404;Buffer overflow in the Mail-Max SMTP server for Windows systems allows remote command execution.
CVE-1999-0405;A buffer overflow in lsof allows local users to obtain root privilege.
CVE-1999-0406;Digital Unix Networker program nsralist has a buffer overflow which allows local users to obtain root privilege.
CVE-1999-0409;Buffer overflow in gnuplot in Linux version 3.5 allows local users to obtain root access.
CVE-1999-0410;The cancel command in Solaris 2.6 (i386) has a buffer overflow that allows local users to obtain root access.
CVE-1999-0413;A buffer overflow in the SGI X server allows local users to gain root access through the X server font path.
CVE-1999-0439;Buffer overflow in procmail before version 3.12 allows remote or local attackers to execute commands via expansions in the procmailrc configuration file.
CVE-1999-0441;Remote attackers can perform a denial of service in WinGate machines using a buffer overflow in the Winsock Redirector Service.
CVE-1999-0460;Buffer overflow in Linux autofs module through long directory names allows local users to perform a denial of service.
CVE-1999-0484;Buffer overflow in OpenBSD ping.
CVE-1999-0494;Denial of service in WinGate proxy through a buffer overflow in POP3.
CVE-1999-0670;Buffer overflow in the Eyedog ActiveX control allows a remote attacker to execute arbitrary commands.
CVE-1999-0671;Buffer overflow in ToxSoft NextFTP client through CWD command.
